seoul	jeju
나 폐에 물 찼을 때도 뒤로 넣었는데	나 폐에 물 찼을 때도 뒤로 넣어신디
폐까지 해가지고 폐에 물 차니까 그걸로 물 빼는 거야	폐까지 해가지고 폐에 물 차니까 그걸로 물 빼는 거
대단한 거야 진짜 의사들	대단한 거라 진짜 의사들
의사들 수술 많이 들어가니까 쫌 약간 또라이 기질들이 있어	의사들 수술 많이 들어가니까 쫌 약간 또라이 기질들이 이서
걔네는 상처보면은 소독할 때도 그냥 막 긁어서 한다니까?	가이네는 상처보면은 소독할 때도 그냥 막 긁어그넹 해분다니깐?
무슨 직업해보고 싶어?	무슨 직업해보고 심?
재미있다고 느꼈어	재미있다고 느껸
이 정말 멋있어 보이겠다.	이 되게 멋있어 보이겠다.
아 가 수영 그럴 때 정말 멋있지.	아 가 수영 그럴 때 되게 멋있지.
멋있다는 그런 거 없어	멋있다는 그런 거 언
트라이앵글처럼	트라이앵글추룩?
이게 물을 이렇게 잡은 다음에 끌잖아?	이게 물을 영 잡은 다음에 끌잖아?
물을 이렇게 팔꿈치를	물을 영 팔꿈치를
어깨 넓어지는 건 어깨 근육도 커져서 넓어지기는 하는데	어깨 넓어지는 건 어깨 근육도 커져서 넓어지기는 하는디
난 그거 멋있던데?	난 그거 멋있던디?
무조건 처음에 수영시킬 거야	무조건 처음에 수영시킬 거
그럼 돈 많이 벌어 선수하면 돼 선수해서	그럼 돈 많이 벌어 선수하면 돼 선수행
어 수영은 느꼈어	어 수영은 느껸
그런데 나 진짜 나 딸 낳으면 난 딸은 더욱 더 수영시킬 거야	그런데 나 진짜 나 딸 낳으면 난 딸은 더욱 더 수영시킬 거
부부로서 #이 혹사시키는 거야	부부로서이  혹사시키는 거
그래 그럼 나도 발레도 안 시킬 거야 아무것도 안 시킬 거야	그래 그럼 나도 발레도 안 시킬 거 아무것도 안 시킬 거
아 그 수영하면 좀 키도 커지고 그렇게 하나?	아 그 수영하면 좀 키도 커지고 겅 하나?
나 백칠십일 나왔어 요번에	나 백칠십일 나완 요번에
내가 얘보단 이 삼 센치는 커.	내가 야이보단 이 삼 센치는 커.
일본에서도 수영 필수 과목에 있어 생존수영해가지고	일본에서도 수영 필수 과목에 인 생존수영해가지고
나 근데 옛날에 수영 배웠었어 어렸을 때 엄마가	나 근데 옛날에 수영 배웠었언 어렸을 때 엄마가
그 도에서 하는 거 막 그런 거 있잖아 그런 막 저런 종합 경기장 안에 수영장 있는 데서	그 도에서 하는 거 막 그런 거 있네 그런 막 저런 종합 경기장 안에 수영장 있는 데서
그거 나 초등학교 때 주말마다 가서 했었었는데	그거 나 초등학교 때 주말마다 가가지고 했었었는데
아 제주도는 옛날에 그런 거 없어서#이	아 제주도는 옛날에 그런 거 어서부난이
공부가 아니라 공부나 하나도 안 가르쳤어	공부가 아니라 공부나 하나도 안 가르쳔
이상한 거 있잖아 막 구연동화 막 이런 거 있잖아 막	이상한 거 있네 막 구연동화 막 이런 거 있네 막
진짜 많이 시켰어 종이접기학원 막 이런 거.	진짜 많이 시켠 종이접기학원 막 이런 거.
근데 나는 자식 낳으면 #이 난 내가 같이 할 거야	근데 나는 자식 낳으면이  난 내가 같이 할 거
이빠이 와서#이 태권도복 입고 와서#이 탈의실 갈아 입고	이빠이 와그넹이 태권도복 입고 왕이 탈의실 갈아 입엉
삼각빤스 입어서 막 들어오는데	삼각빤스 입어그넹 막 들어오는디
물 보면 막 애들 미쳐버려	물 보면 막 애들 미쳐부러
그렇다며 뭐 뭐	그렇대매 뭐 뭐
밖에서는 뭐 오십 미터 뛰면 뭐 얼마면 잘 뛰는건데	밖에서는 뭐 오십 미터 뛰면 뭐 얼마면 잘 뛰는건디
근데 뭐 물에서는 백 미터 가려고 하면	근데 뭐 물에서는 백 미터 가잰 하면
뭐 이십 삼십 초 막 이렇게 된다며	뭐 이십 삼십 초 막 이렇게 된대매
그러니까 한 번 갈 때 오십 미터 아니야? 수영장 레인	그러니까 한 번 갈 때 오십 미터 아니? 수영장 레인
어 이거 이십오 풀이 있고 오십 레인 풀이 있어 근데 이제 나는	어 이거 이십오 풀이 있고 오십 레인 풀이 이서 근데 이제 나는
근데 진짜 그런가? 딱 보기에는 빨라 보이는데	근데 진짜 그런가? 딱 보기에는 빨라 보이는디
걔 시험 때 역사 쓴게 오십팔 초	가이 시험 때 역사 쓴게 오십팔 초
걔가 역사썼어?	걔가 역사썬?
그런데 너는 수영을 언제부터 배웠어?	그런데 너는 수영을 언제부터 배원?
난 배워본 적은 없어	난 배워본 적은 언
그때도 수영 잘했어?	그때도 수영 잘핸?
집 앞이 바다니까	집 앞이 바당이니까
그때는 이제 바다 바다수영	그때는 이제 바당 바당수영
아 너 그럼 어렸을 때부터 바다에서 막 이렇게 수영했어?	아 너 그럼 어렸을 때부터 바다에서 막 영 수영핸?
너 아빠랑 맨날 들어갔지 않애?	너 아방이랑 맨날 들어갔지 않애?
나 네 살부터 들어갔어	나 네 살부터 들어간
그 진짜로 너네가 하는 자유형 이런 거 한 거야?	그 진짜로 너네가 하는 자유형 이런 거 한 거?
네 살부터 네 살부터 했어 나 바다에서	네 살부터 네 살부터 핸 나 바다에서
나 유튜브에서 봤는데 미국에서 그 수중분만하거든?	나 유튜브에서 봐신디 미국에서 그 수중분만하거든?
숨도 쉬잖아 안에서 물 안에서	숨도 쉬네 안에서 물 안에서
그러니까 내가 그걸 물어보는 거야	그러니까 내가 그걸 물어보는 거
아니 처음에는 알려주지 않았어 왜냐하면 그 형네 다닐 때도	아니 처음에는 알려주지 않앤 왜냐하면 그 형네 다닐 때도
누구를 가르쳐 줄 수 있는 시간이 아니었어	누구를 가르쳐 줄 수 있는 시간이 아니언
일단은 물에서 자기네를 따라올 수 있는 체력을 먼저 만들어야 된다고 생각을 했어?	일단은 물에서 자기네를 따라올 수 있는 체력을 먼저 만들어야 된다고 생각을 핸?
그게 따라가는 체력이 만들어진다라고 했는데	그게 따라가는 체력이 만들어진다라고 해신디
점점 #이 체력 늘고 따라가게돼	점점이  체력 늘고 따라가져
근데 따라가다 보면은 또 자기 스스로 #이 자세 만들게돼	근데 따라가다 보면은 또 자기 스스로이  자세 만들어져
그리고 왜 안되냐라고 많이 생각할 거 아니야?	그리고 왜 안되냐라고 많이 생각할 거 아니?
내가 만약에 형들보다 그러니까 처음에 제일 잘하는 형이 갈 거 아니야?	내가 만약에 형들보다 그러니까 처음에 제일 잘하는 형이 갈 거 아니?
나를 볼 거 아니야? 야  팔 너무 바깥으로 던진다	나를 볼 거 아니? 야  팔 너무 바깥으로 던진다
이런식으로 하면서 점점 고쳐나가는 거야	이런식으로 하면서 점점 고쳐나가는 거
물 잡는 느낌이 있어	물 잡는 느낌이 이서
그러니까 운동 이제 고등학교 때까지 하다가	그러니까 운동 이제 고등학교 때까지 하당
졸업해서	졸업해그네
이젠 야 이젠 안 뛸래	이젠 야 이젠 안 뛰켜
그렇게 해서 잠깐 런닝 이제 다시 좀 뛰어 볼까?	겅 행 잠깐 런닝 이제 다시 좀 뛰어 볼까?
잡생각이 사라지는 거야 뛸 때만큼은	잡생각이 사라지는 거 뛸 때만큼은
동호회같은 게 없었어?	동호회같은 게 없언?
그렇게 해서 하다가 한 오 년 지났나?	겅 행 하다가 한 오 년 지났나?
갑자기 런닝 크루 생긴 거야?	갑자기 런닝 크루 생긴 거?
서울에는 많았어 육지에도 많고 제주도에는 없었는데	서울에는 많안 육지에도 많고 제주도에는 어서신디
나가볼까 해서 나갔는데 사람들이랑 같이 뛰면 또 재밌고 하니까	나가볼까 해서 나가신디 사람들이랑 같이 뛰면 또 재밌고 하니까
사람들 잘 뛰어?	사람들 잘 뛰맨?
상업적으로 접근하면 완전 더러워져	상업적으로 접근하면 완전 추잡해져
아님 보험회사 일하거나 그러면 사람들이 필요할 거 아니냐 그렇게 해서	아님 보험회사 일하거나 그러면 사람들이 필요할 거 아니냐 겅 행
아 나도 이제 딱 했는데	아 나도 이제 딱 해신디
이제 우리 런닝 뛰다가 보면은	이제 우리 런닝 뛰당 보면은
그런 목적으로 온 사람도 있어	그런 목적으로 온 사람도 이서
그럼 완전 더 더러워지지	그럼 완전 더 추잡해지지
달리기 우리는 달리기만 하려고 했는데	돌음박질 우리는 돌음박질만 하잰 해신디
얘는	야이는
또 여자  왔구나 해서	또 여자  왔구나 해그넹
다 알잖아 거기서 거기 갔는데 아는 사람도 만날 수도 있어	다 알잖아 거기서 거기 갔는데 아는 사람도 만날 수도 인
다가온 사람들이 있었어 진짜	다가온 사람들이 있언 진짜
그런데 또 우리 동호회가 막 이렇게 커질려고 할 그런 건 없었어	그런데 또 우리 동호회가 막 이렇게 커질려고 할 그런 건 없언
그런데 어떤 사람이 나가서 또 차렸어? 자기 거를	그런데 어떤 사람이 나가서 또 차련? 자기 거를
거기도 공 만 빼버리고 육 사 하고 웨이브는 그 파도 있어 파도	거기도 공 만 빼버리고 육 사 하고 웨이브는 그 파도 이서 파도
바다에 있는 거 파도해서	바당에 있는 거 파도해그넹
느낌 있게 만들긴 했는데	느낌 있게 만들긴 해신디
특전사 나왔어	특전사 나완
그 사람 육지 사람일 거야 아마	그 사람 육지 사람일 거라 아마
그렇게 해서	겅 해그넹
야 근데 그거는 뭐 그냥 뭐 매주 수요일마다 하고 하는 거야?	야 근데 그거는 뭐 그냥 뭐 매주 수요일마다 하고 하는 거?
그렇지	기지
근데 나는 좀 모여서 뛰는 것도 좋은데	근데 나는 좀 모여서 뛰는 것도 좋은디
모여서 뛰고 싶을 때도 있어	모여서 뛰고 싶을 때도 인
그냥 그렇게 그런 모습 보면 좀 서로 같이 이제 같은 그런 느낌을 같이 느끼는 거지	그냥 그렇게 그런 모습 보면 좀 서로 같이 이제 같은 그런 느낌을 같이 느끼는 거주
그럴 때 있잖아 나 혼자 엄청 뛰고 싶을 때가 있고	그럴 때 있네 나 혼자 엄청 뛰고 싶을 때가 있고
팀들이랑 같이 엄청 뛰고 싶을 때가 있어	팀들이랑 같이 엄청 뛰고 싶을 때가 이서
그런 날이 있어	그런 날이 이서
왜냐하면 똑같은 데를 계속 뛰어야 되잖아	왜냐하면 똑같은 데를 계속 뛰어야 되네
야 나 이거 티 있는데	야 나 이거 티 이신디
나? 나 원래 축구선수 하고 싶었었어	나? 나 원래 축구선수 하고 싶었언
다시 돌아간다면 축구선수 할 거야?	다시 돌아간다면 축구선수 할 거?
그럼 다시 돌아간다고 공부도 할 수 있어 그런 뭐 있잖아	그럼 다시 돌아간다고 공부도 할 수 있어 그런 뭐 있네
영어해보고 싶어 아임 파인 땡큐 앤드 유?	영어해보고 심 아임 파인 땡큐 앤드 유?
영어는 한번 해보고 싶어	영어는 한번 해보고 싶
야 영어는 삼 사십 대도 하는데	야 영어는 삼 사십 대도 하는디
나중에 영상통화 한 번 해 볼래?	나중에 영상통화 한 번 해 보잰?
나 이번에 다 면접 준비할 때 공부하는데 진짜 미치는 줄 알았어	나 이번에 다 면접 준비할 때 공부하는데 진짜 미치는 줄 알안
법하고 시사 이런게 있는데 아 미치겠더라.	법하고 시사 이런게 이신디 아 미치겠더라.
왜 안했어?	왜 안핸?
그때는 뭐 우리 공부할 수 있는 그런 여건이 안됐어	그때는 뭐 우리 공부할 수 있는 그런 여건이 안됀
그런거는 당연히 일반인들보다 더 싹싹하고 사회성은 있어	그런거는 당연히 일반인들보다 더 싹싹하고 사회성은 이서
그래도 좀 유별난 애들이	겅해도 좀 요망진 애들이
도움도 많이 받아서	도움도 많이 받아그넹
살아가는 데 있어가지고 #이 인복이 제일 중요한 거야	살아가는 데 있어가지고이  인복이 제일 중요한 거라
아 그래? 잘 만난 거야?	아 기? 잘 만난 거라?
졸업식 때 올 사람 많아지겠네 #이	졸업식 때 올 사람 많아지겠네 이
아 그래?	아 기?
잘 지내신데?	잘 지내신덴?
그런 엄청	그런 완전
신앙 안에서도 잘 컸어	신앙 안에서도 잘 컨
근데 엄청 진짜 그거 하나만은	근데 완전 진짜 그거 하나만은
제주도로 온다고 했는데	제주도로 오켄해신디
아 그래?	아 기?
제주도로 다시 오겠다고 했는데	제주도로 다시 오켄해신디
은혜로 들어갔다고 하니까	은혜로 들어갔덴 하난
얘 결혼할때 거기서 많이 왔어	얘 결혼할때 거기서 많이 완
일본에 와서 내가	일본에 와그네 내가
얼마 전에도 감귤 보내드리고	얼마 전에도 미캉 보내드리고
그렇게 그	경 그
우리 교회 와서 복을 많이 받았어	우리 교회 와서 복을 많이 받안
우리 걔 와서 만났다가	우리 걔 왕 만났당
삼양아파트 조그만 거	삼양아파트 째깐한 거
그러니까 서울에 집이 또 하나 있어	겅하니까 서울에 집이 또 하나 있어
이런 초가집 같은 스레트집 하나 있어	이런 초가집 닮은 스레트집 하나 있어
그러니까 돈을 많이 있어 그래도	경하니까 돈을 많이 있어 그래도
쉬지않고 일해	쌔빠지게 일해
그래? 무슨일 하셔?	기? 무슨일 하셔?
